Seed    PlayerNr    Round   LoserHandCardCount  LoserHandValue  LoserFilledCardSpots    LoserCardSpotsValue
360 1   5   4   27  3   57
361 1   3   13  107 0   0
362 1   11  1   2   4   95
363 0   13  3   14  3   97
364 0   12  4   32  3   85
365 1   15  1   4   3   99
366 1   12  2   25  3   109
367 0   16  3   27  3   100
368 0   5   3   18  3   86
369 1   7   2   10  3   88
370 0   3   5   34  2   60
371 1   15  5   43  2   81
372 1   12  4   18  3   73
373 0   6   1   6   4   89
374 1   11  1   3   4   110
375 0   9   3   19  3   92
376 1   6   3   21  3   60
377 1   10  1   3   3   95
378 1   9   6   26  2   43
379 0   9   1   2   4   113
380 0   6   3   10  3   87
381 1   3   13  85  0   0
382 1   14  1   3   4   124
383 1   9   2   5   3   57
384 1   15  2   20  3   75
385 0   7   1   2   4   98
386 0   12  2   20  3   85
387 0   10  1   10  3   105
388 1   12  3   30  3   94
389 1   12  4   21  3   80
390 1   8   3   14  3   100
391 1   8   3   14  3   92
392 0   7   6   48  2   70
393 1   6   1   4   4   100
394 1   12  4   35  2   50
395 1   9   6   39  2   57
396 0   7   6   36  2   68
397 0   12  7   59  2   67
398 0   8   2   20  3   106
399 1   5   2   15  3   68
400 1   6   3   14  3   69
401 1   9   5   39  2   75
402 1   8   4   37  3   73
403 0   20  1   3   3   78
404 1   15  2   20  3   90
405 0   16  1   2   3   60
406 0   19  1   4   3   103
407 1   13  1   3   3   95
408 0   7   3   20  3   72
409 1   10  2   5   3   94
410 1   13  1   4   4   127
411 0   19  2   20  3   56
412 1   3   13  91  0   0
413 1   12  2   20  3   90
414 1   15  2   13  3   69
415 1   15  1   2   3   111
416 0   5   1   7   3   75
417 1   12  4   40  2   68
418 1   12  1   10  4   93
419 1   9   4   29  3   101
420 1   5   4   24  3   57
421 0   7   6   40  2   60
422 1   14  2   23  3   76
423 0   5   3   25  3   81
424 1   4   3   19  3   56
425 1   9   2   20  3   60
426 0   5   6   28  2   70
427 0   8   4   32  3   75
428 1   8   7   58  2   39
429 0   12  1   2   4   76
430 1   11  2   20  3   84
431 0   10  1   2   3   100
432 1   26  1   20  2   80
433 1   17  2   27  3   79
434 0   7   2   13  3   78
435 0   8   3   30  2   58
436 1   8   3   23  3   74
437 1   5   6   36  2   60
438 0   6   7   52  2   64
439 1   8   2   8   3   59
440 1   6   4   17  3   67
441 0   11  7   63  2   64
442 1   8   2   20  3   117
443 0   18  2   22  3   98
444 0   9   3   24  3   79
445 1   5   3   18  3   87
446 1   14  4   40  3   57
447 1   8   2   8   3   61
448 0   9   4   32  3   79
449 1   14  4   10  3   80
450 1   15  1   8   3   63
451 0   6   3   23  3   104
452 0   16  3   20  3   77
453 0   9   2   10  3   94
454 1   5   13  96  0   0
455 0   8   3   20  3   69
456 1   6   6   34  2   61
457 0   3   1   3   4   113
458 1   9   5   43  2   54
459 0   14  2   11  3   112
460 0   10  2   18  3   69
461 1   9   13  96  0   0
462 1   11  1   3   3   60
463 0   17  1   6   3   102
464 0   8   1   2   3   97
465 0   13  1   2   4   110
466 0   12  1   4   3   93
467 1   13  1   3   4   105
468 1   7   13  89  0   0
469 0   11  1   3   3   70
470 1   10  2   7   3   90
471 1   12  13  100 0   0
472 0   9   2   23  3   90
473 1   12  3   24  3   66
474 0   12  2   20  3   49
475 1   6   3   26  3   110
476 1   9   1   4   4   111
477 1   4   7   47  2   55
478 0   16  1   10  3   78
479 1   13  1   6   4   119
480 0   7   7   59  2   58
481 1   11  1   7   3   81
482 1   9   5   45  2   57
483 1   4   6   58  1   40
484 1   16  3   13  3   45
485 0   15  1   2   4   142
486 0   11  2   22  3   68
487 0   6   3   25  3   90
488 1   11  2   11  3   76
489 1   5   4   33  3   53
490 1   10  1   4   3   81
491 0   6   6   52  2   52
492 1   7   1   2   4   89
493 0   7   7   60  2   60
494 1   9   5   46  2   38
495 0   18  1   5   3   128
496 0   9   4   30  3   62
497 0   18  3   13  2   55
498 0   3   1   6   4   85
499 1   13  1   5   3   81
500 0   16  2   20  3   60
501 0   11  3   34  2   55
502 1   4   4   15  3   67
503 0   7   3   24  3   116
504 1   10  2   20  3   58
505 0   3   5   23  2   70
506 0   3   7   48  2   54
507 1   15  1   4   3   60
508 1   12  2   10  3   87
509 1   10  5   32  2   40
510 1   11  3   26  3   108
511 0   7   4   17  3   82
512 0   12  3   26  2   90
513 0   7   4   28  2   111
514 1   11  2   25  3   90
515 1   8   1   8   3   82
516 0   13  3   28  3   88
517 1   11  3   14  3   60
518 1   11  13  110 0   0
519 1   5   9   59  1   50
520 0   11  2   11  3   89
521 0   14  1   2   4   136
522 1   4   6   36  2   51
523 1   10  5   36  2   42
524 1   4   4   23  3   66
525 0   14  2   5   3   117
526 0   5   13  93  0   0
527 0   6   13  93  0   0
528 1   8   3   21  3   82
529 1   11  1   4   3   66
530 1   8   6   25  2   36
531 1   6   4   18  3   100
532 1   5   4   39  3   72
533 0   7   1   3   3   83
534 1   12  1   5   4   126
535 1   13  4   40  3   91
536 0   10  3   29  3   68
537 1   9   2   18  3   58
538 0   12  5   49  2   61
539 1   17  13  106 0   0
540 1   8   1   2   4   96
541 0   14  3   27  3   92
