Seed	PlayerNr	Round	LoserHandCardCount	LoserHandValue	LoserFilledCardSpots	LoserCardSpotsValue
2114	1	10	1	6	3	80
2115	0	7	3	25	3	87
2116	1	9	2	26	3	79
2117	1	10	1	2	4	72
2118	0	10	2	19	3	80
2119	1	13	5	32	2	45
2120	0	7	8	54	1	30
2121	1	8	3	26	3	74
2122	0	6	3	14	3	89
2123	0	8	13	86	0	0
2124	0	9	4	34	2	55
2125	0	7	4	39	3	94
2126	0	12	2	6	3	86
2127	1	11	3	17	3	75
2128	1	15	2	6	3	82
2129	0	15	2	10	3	84
2130	1	6	5	28	2	56
2131	1	7	3	29	3	84
2132	1	10	4	20	3	75
2133	1	13	3	15	3	77
2134	0	7	3	17	3	68
2135	1	7	6	47	2	62
2136	0	13	1	3	4	132
2137	1	15	1	10	4	78
2138	0	9	3	13	2	77
2139	1	7	3	22	3	66
2140	0	9	1	5	3	75
2141	1	13	2	20	3	90
2142	1	15	3	30	2	70
2143	0	17	2	20	3	109
2144	0	10	6	39	2	70
2145	1	11	1	5	3	92
2146	0	6	2	6	3	109
2147	0	13	1	5	3	68
2148	0	7	5	29	2	60
2149	0	9	4	30	3	84
2150	0	13	2	9	3	90
2151	1	11	3	10	3	69
2152	1	8	1	2	4	106
2153	1	14	3	26	3	70
2154	0	11	2	23	3	84
2155	1	17	1	3	3	96
2156	0	6	1	3	4	93
2157	0	20	1	2	4	132
2158	1	9	4	24	3	72
2159	1	14	6	55	2	60
2160	1	15	3	22	3	58
2161	1	15	6	39	2	42
2162	1	8	3	22	3	81
2163	1	5	5	40	2	45
2164	1	7	6	38	2	60
2165	1	6	3	17	3	76
2166	0	18	1	5	3	78
2167	0	5	4	26	2	80
2168	0	10	3	30	3	75
2169	1	5	3	20	3	75
2170	0	8	1	3	4	118
2171	1	14	1	8	3	72
2172	0	15	1	2	3	62
2173	0	11	1	2	3	112
2174	0	32	2	25	3	89
2175	0	10	2	25	3	76
2176	0	16	4	40	3	91
2177	1	8	4	22	2	57
2178	1	21	1	3	3	109
2179	1	14	2	4	3	77
2180	1	9	1	5	4	96
2181	0	14	2	22	3	115
2182	1	12	8	76	1	44
2183	1	17	1	4	4	104
2184	1	8	1	2	3	60
2185	1	19	1	8	4	115
2186	1	6	6	32	2	48
2187	0	12	3	15	3	82
2188	0	9	3	24	3	90
2189	1	4	7	32	2	37
2190	1	7	1	5	4	95
2191	1	12	2	22	3	89
2192	1	6	2	24	3	79
2193	1	10	3	11	3	67
2194	0	10	2	30	3	70
2195	1	12	4	31	2	57
2196	1	7	5	42	2	61
2197	0	12	3	30	3	47
2198	1	14	2	30	2	44
2199	1	9	6	27	2	54
2200	0	13	1	2	3	95
2201	1	9	13	110	0	0
2202	1	12	2	6	2	70
2203	1	6	3	13	3	58
2204	0	12	1	2	3	70
2205	0	10	1	4	4	57
2206	1	6	5	43	2	45
2207	1	3	4	17	3	110
2208	1	6	5	49	2	58
2209	0	5	7	42	2	46
2210	1	10	3	10	3	97
2211	0	7	6	53	2	40
2212	1	4	3	28	3	63
2213	0	8	1	8	4	110
2214	1	5	13	90	0	0
2215	1	8	1	10	3	60
2216	1	14	3	37	3	60
2217	1	25	2	19	2	52
2218	0	8	2	13	3	85
2219	0	21	1	2	4	116
2220	0	4	10	72	1	30
2221	1	20	1	7	3	126
2222	1	22	2	13	3	90
2223	1	10	1	2	4	65
